criterion,description
Hook clarity,Instantly understandable and specific
Voice & brand,Matches tone rules; consistent capitalization
Usefulness,Delivers value: insight or practice
Structure,Hook → beats → CTA, clean flow
CTA quality,One clear next step, relevant
Proof/consent,Claims cited; consents recorded as needed
Save/share potential,Likely to be saved/shared
Completion,Links and UTMs present; nothing missing
Novelty,Not a repeat of last week’s winners
Compliance & access,Policy-safe; captions and alt text present
